19:49:31.567 XYZ [[3.5, 5.44, 1.45], [1.09, 3.28, 1.77], [2.38, 1.37, 1.34], [0.87, 1.96, 1.53]]
19:49:31.650 XYZ [[3.42, 5.46, 1.42], [1.07, 3.26, 1.76], [2.39, 1.37, 1.33], [0.88, 1.95, 1.48]]
19:49:31.734 XYZ [[3.35, 5.47, 1.43], [1.02, 3.22, 1.73], [2.43, 1.34, 1.3], [0.88, 1.91, 1.45]]
19:49:31.817 XYZ [[3.22, 5.47, 1.45], [0.99, 3.16, 1.69], [2.47, 1.31, 1.28], [0.89, 1.92, 1.44]]
19:49:31.901 XYZ [[3.14, 5.46, 1.46], [0.97, 3.13, 1.68], [2.51, 1.29, 1.28], [0.9, 1.91, 1.47]]
19:49:31.985 XYZ [[3.09, 5.45, 1.45], [1.0, 3.1, 1.63], [2.56, 1.28, 1.3], [0.96, 1.92, 1.49]]
19:49:32.069 XYZ [[3.0, 5.46, 1.46], [0.96, 3.05, 1.64], [2.61, 1.28, 1.33], [0.99, 1.91, 1.49]]
19:49:32.152 XYZ [[2.94, 5.46, 1.45], [0.97, 3.01, 1.6], [2.63, 1.27, 1.33], [1.02, 1.9, 1.48]]
19:49:32.236 XYZ [[2.91, 5.45, 1.46], [0.97, 2.98, 1.6], [2.66, 1.26, 1.36], [1.09, 1.86, 1.47]]
19:49:32.319 XYZ [[2.87, 5.45, 1.46], [1.0, 2.93, 1.58], [2.67, 1.26, 1.39], [1.11, 1.85, 1.47]]
19:49:32.403 XYZ [[2.86, 5.44, 1.47], [1.0, 2.91, 1.57], [2.69, 1.27, 1.39], [1.16, 1.83, 1.48]]
19:49:32.487 XYZ [[2.81, 5.43, 1.47], [1.01, 2.85, 1.58], [2.72, 1.3, 1.4], [1.23, 1.8, 1.48]]
19:49:32.570 XYZ [[2.76, 5.4, 1.49], [1.02, 2.8, 1.58], [2.75, 1.35, 1.39], [1.24, 1.78, 1.47]]
19:49:32.653 XYZ [[2.74, 5.38, 1.52], [1.01, 2.78, 1.58], [2.76, 1.39, 1.4], [1.29, 1.75, 1.44]]
19:49:32.737 XYZ [[2.71, 5.36, 1.52], [0.98, 2.72, 1.56], [2.79, 1.44, 1.41], [1.34, 1.72, 1.42]]
19:49:32.821 XYZ [[2.67, 5.35, 1.53], [0.97, 2.69, 1.56], [2.82, 1.49, 1.42], [1.36, 1.7, 1.42]]
19:49:32.904 XYZ [[2.68, 5.28, 1.53], [0.93, 2.66, 1.59], [2.84, 1.5, 1.42], [1.41, 1.67, 1.39]]
19:49:32.988 XYZ [[2.69, 5.24, 1.52], [0.91, 2.64, 1.6], [2.91, 1.53, 1.4], [1.45, 1.62, 1.37]]
19:49:33.071 XYZ [[2.68, 5.19, 1.52], [0.86, 2.63, 1.59], [2.93, 1.57, 1.39], [1.47, 1.6, 1.34]]
19:49:33.155 XYZ [[2.68, 5.17, 1.53], [0.84, 2.59, 1.58], [2.96, 1.6, 1.41], [1.5, 1.59, 1.33]]
19:49:33.240 XYZ [[2.67, 5.15, 1.53], [0.82, 2.58, 1.56], [3.0, 1.66, 1.4], [1.51, 1.59, 1.29]]
19:49:33.323 XYZ [[2.63, 5.13, 1.57], [0.77, 2.53, 1.56], [3.04, 1.71, 1.39], [1.51, 1.56, 1.27]]
19:49:33.407 XYZ [[2.61, 5.12, 1.59], [0.75, 2.51, 1.54], [3.06, 1.73, 1.39], [1.51, 1.55, 1.27]]
19:49:33.490 XYZ [[2.61, 5.11, 1.6], [0.74, 2.49, 1.51], [3.11, 1.78, 1.38], [1.51, 1.53, 1.29]]
19:49:33.574 XYZ [[2.61, 5.08, 1.63], [0.71, 2.44, 1.48], [3.16, 1.82, 1.39], [1.52, 1.51, 1.32]]
19:49:33.657 XYZ [[2.6, 5.05, 1.65], [0.68, 2.38, 1.48], [3.2, 1.85, 1.44], [1.53, 1.5, 1.38]]
19:49:33.741 XYZ [[2.58, 5.04, 1.65], [0.68, 2.35, 1.47], [3.22, 1.88, 1.46], [1.52, 1.48, 1.43]]
19:49:33.824 XYZ [[2.56, 5.01, 1.63], [0.68, 2.32, 1.46], [3.25, 1.94, 1.48], [1.51, 1.49, 1.48]]
19:49:33.908 XYZ [[2.51, 5.0, 1.63], [0.7, 2.22, 1.47], [3.29, 1.99, 1.53], [1.53, 1.46, 1.5]]
19:49:33.991 XYZ [[2.52, 4.99, 1.62], [0.74, 2.19, 1.48], [3.3, 2.01, 1.56], [1.6, 1.44, 1.55]]
19:49:34.075 XYZ [[2.51, 4.99, 1.6], [0.81, 2.16, 1.49], [3.31, 2.05, 1.57], [1.65, 1.42, 1.58]]
19:49:34.159 XYZ [[2.51, 4.99, 1.58], [0.86, 2.12, 1.47], [3.31, 2.08, 1.58], [1.68, 1.4, 1.58]]
19:49:34.242 XYZ [[2.51, 4.99, 1.58], [0.88, 2.1, 1.46], [3.32, 2.12, 1.62], [1.73, 1.39, 1.58]]
