19:25:29.478 XYZ [[0.0, 0.0, 0.0], [4.29, 6.24, 1.58], [4.17, 5.03, 1.75], [4.14, 2.91, 1.54], [4.13, 3.8, 1.72]]
19:25:29.561 XYZ [[0.0, 0.0, 0.0], [4.24, 6.29, 1.52], [4.13, 5.03, 1.72], [4.12, 2.91, 1.54], [4.11, 3.8, 1.73]]
19:25:29.645 XYZ [[0.0, 0.0, 0.0], [4.24, 6.29, 1.52], [4.08, 5.04, 1.67], [4.11, 2.93, 1.52], [4.1, 3.81, 1.72]]
19:25:29.728 XYZ [[0.0, 0.0, 0.0], [4.22, 6.3, 1.48], [4.06, 5.06, 1.66], [4.06, 2.95, 1.49], [4.09, 3.83, 1.7]]
19:25:29.812 XYZ [[0.0, 0.0, 0.0], [4.19, 6.32, 1.46], [3.98, 5.08, 1.64], [4.02, 2.92, 1.4], [4.08, 3.84, 1.7]]
19:25:29.895 XYZ [[0.0, 0.0, 0.0], [4.19, 6.32, 1.46], [3.96, 5.08, 1.64], [3.98, 2.93, 1.38], [4.03, 3.86, 1.65]]
19:25:29.979 XYZ [[0.0, 0.0, 0.0], [4.13, 6.31, 1.45], [3.9, 5.07, 1.65], [3.92, 2.94, 1.37], [4.0, 3.89, 1.6]]
19:25:30.062 XYZ [[0.0, 0.0, 0.0], [4.1, 6.28, 1.43], [3.8, 5.1, 1.67], [3.91, 2.93, 1.35], [3.98, 3.89, 1.58]]
19:25:30.146 XYZ [[0.0, 0.0, 0.0], [4.1, 6.28, 1.43], [3.72, 5.09, 1.67], [3.88, 2.93, 1.32], [3.94, 3.88, 1.56]]
19:25:30.229 XYZ [[0.0, 0.0, 0.0], [4.02, 6.23, 1.45], [3.7, 5.1, 1.65], [3.84, 2.9, 1.31], [3.9, 3.86, 1.53]]
19:25:30.313 XYZ [[0.0, 0.0, 0.0], [3.93, 6.22, 1.47], [3.68, 5.08, 1.64], [3.81, 2.88, 1.3], [3.83, 3.88, 1.53]]
19:25:30.396 XYZ [[0.0, 0.0, 0.0], [3.9, 6.22, 1.47], [3.61, 5.04, 1.66], [3.75, 2.86, 1.31], [3.8, 3.88, 1.54]]
19:25:30.479 XYZ [[0.0, 0.0, 0.0], [3.84, 6.21, 1.47], [3.6, 5.05, 1.65], [3.66, 2.86, 1.28], [3.71, 3.9, 1.53]]
19:25:30.563 XYZ [[0.0, 0.0, 0.0], [3.79, 6.21, 1.47], [3.55, 5.04, 1.64], [3.66, 2.86, 1.28], [3.69, 3.9, 1.51]]
