20:03:24.780 XYZ [[2.98, -0.97, 1.29], [1.1, 4.2, 1.47], [1.67, 1.45, 1.27], [2.63, 4.51, 1.39], [0.0, 0.0, 0.0], [2.7, 0.12, 1.07], [0.0, 0.0, 0.0], [1.16, 3.52, 0.74], [1.98, 1.13, 1.37], [2.28, 5.17, 1.18]]
20:03:24.863 XYZ [[3.0, -0.99, 1.29], [1.06, 4.17, 1.48], [1.7, 1.49, 1.26], [2.62, 4.53, 1.38], [0.0, 0.0, 0.0], [2.71, 0.15, 1.09], [0.0, 0.0, 0.0], [1.12, 3.46, 0.74], [2.03, 1.15, 1.38], [2.29, 5.22, 1.15]]
20:03:24.949 XYZ [[3.0, -0.98, 1.33], [1.03, 4.15, 1.47], [1.72, 1.51, 1.29], [2.58, 4.58, 1.41], [0.0, 0.0, 0.0], [2.75, 0.17, 1.09], [0.0, 0.0, 0.0], [1.01, 3.36, 0.72], [2.15, 1.19, 1.4], [2.29, 5.27, 1.13]]
20:03:25.033 XYZ [[3.03, -0.97, 1.33], [0.96, 4.11, 1.49], [1.76, 1.55, 1.27], [2.57, 4.6, 1.4], [0.0, 0.0, 0.0], [2.79, 0.17, 1.1], [0.0, 0.0, 0.0], [0.92, 3.32, 0.69], [2.23, 1.23, 1.43], [2.29, 5.33, 1.12]]
20:03:25.118 XYZ [[3.1, -0.91, 1.39], [0.91, 4.05, 1.52], [1.86, 1.6, 1.3], [2.54, 4.66, 1.42], [0.0, 0.0, 0.0], [2.88, 0.28, 1.19], [0.0, 0.0, 0.0], [0.85, 3.27, 0.68], [2.32, 1.27, 1.44], [2.32, 5.42, 1.07]]
20:03:25.202 XYZ [[3.16, -0.81, 1.45], [0.84, 3.99, 1.55], [1.96, 1.65, 1.32], [2.52, 4.72, 1.41], [0.0, 0.0, 0.0], [2.95, 0.36, 1.23], [0.0, 0.0, 0.0], [0.54, 3.09, 0.68], [2.4, 1.32, 1.43], [2.33, 5.53, 1.03]]
20:03:25.285 XYZ [[3.16, -0.81, 1.45], [0.84, 3.99, 1.55], [2.01, 1.68, 1.33], [2.52, 4.72, 1.41], [0.0, 0.0, 0.0], [2.98, 0.38, 1.24], [0.0, 0.0, 0.0], [0.54, 3.09, 0.68], [2.4, 1.32, 1.43], [2.36, 5.58, 1.03]]
20:03:25.369 XYZ [[3.17, -0.74, 1.45], [0.87, 3.97, 1.56], [2.04, 1.71, 1.34], [2.52, 4.75, 1.41], [0.0, 0.0, 0.0], [3.01, 0.39, 1.24], [0.0, 0.0, 0.0], [0.86, 3.38, 0.81], [2.45, 1.35, 1.43], [2.35, 5.63, 1.02]]
20:03:25.452 XYZ [[3.23, -0.57, 1.49], [0.84, 3.89, 1.6], [2.15, 1.8, 1.4], [2.52, 4.82, 1.36], [0.0, 0.0, 0.0], [3.09, 0.45, 1.22], [0.0, 0.0, 0.0], [1.16, 3.35, 1.18], [2.6, 1.42, 1.42], [2.36, 5.68, 1.03]]
20:03:25.536 XYZ [[3.23, -0.42, 1.52], [0.85, 3.85, 1.59], [2.2, 1.84, 1.41], [2.51, 4.93, 1.37], [0.0, 0.0, 0.0], [3.14, 0.5, 1.21], [0.0, 0.0, 0.0], [1.17, 3.36, 1.12], [2.66, 1.46, 1.44], [2.47, 5.67, 1.03]]
20:03:25.619 XYZ [[3.28, -0.32, 1.57], [0.85, 3.82, 1.6], [2.25, 1.87, 1.42], [2.5, 4.97, 1.37], [0.0, 0.0, 0.0], [3.25, 0.57, 1.2], [0.0, 0.0, 0.0], [1.18, 3.34, 1.2], [2.74, 1.51, 1.45], [2.52, 5.67, 1.06]]
20:03:25.703 XYZ [[3.32, -0.22, 1.54], [0.85, 3.82, 1.6], [2.25, 1.87, 1.42], [2.5, 5.01, 1.37], [0.0, 0.0, 0.0], [3.3, 0.63, 1.19], [0.0, 0.0, 0.0], [1.22, 3.32, 1.22], [2.78, 1.54, 1.45], [2.52, 5.67, 1.06]]
20:03:25.786 XYZ [[3.37, -0.1, 1.54], [0.86, 3.79, 1.59], [2.29, 1.89, 1.43], [2.46, 5.11, 1.38], [0.0, 0.0, 0.0], [3.39, 0.72, 1.19], [0.0, 0.0, 0.0], [1.28, 3.3, 1.21], [2.85, 1.59, 1.46], [2.61, 5.66, 1.08]]
20:03:25.870 XYZ [[3.46, 0.04, 1.51], [0.89, 3.76, 1.57], [2.34, 1.93, 1.42], [2.45, 5.14, 1.38], [0.0, 0.0, 0.0], [3.47, 0.8, 1.16], [0.0, 0.0, 0.0], [1.33, 3.29, 1.18], [2.93, 1.64, 1.46], [2.66, 5.61, 1.09]]
20:03:25.953 XYZ [[3.48, 0.13, 1.51], [0.9, 3.74, 1.56], [2.41, 1.95, 1.4], [2.42, 5.18, 1.38], [0.0, 0.0, 0.0], [3.49, 0.82, 1.13], [0.0, 0.0, 0.0], [1.32, 3.28, 1.14], [2.98, 1.66, 1.46], [2.68, 5.55, 1.09]]
20:03:26.036 XYZ [[3.54, 0.32, 1.48], [0.91, 3.71, 1.59], [2.46, 1.97, 1.41], [2.3, 5.21, 1.39], [0.0, 0.0, 0.0], [3.54, 0.91, 1.06], [0.0, 0.0, 0.0], [1.3, 3.27, 1.06], [3.07, 1.72, 1.45], [2.71, 5.47, 1.09]]
20:03:26.120 XYZ [[3.57, 0.47, 1.47], [0.91, 3.67, 1.63], [2.51, 1.97, 1.43], [2.27, 5.25, 1.38], [0.0, 0.0, 0.0], [3.54, 0.87, 1.06], [0.0, 0.0, 0.0], [1.28, 3.25, 1.01], [3.12, 1.75, 1.44], [2.72, 5.43, 1.11]]
20:03:26.203 XYZ [[3.58, 0.55, 1.46], [0.93, 3.62, 1.65], [2.55, 1.97, 1.43], [2.22, 5.31, 1.42], [0.0, 0.0, 0.0], [3.55, 0.84, 1.03], [0.0, 0.0, 0.0], [1.28, 3.25, 1.01], [3.19, 1.83, 1.41], [2.72, 5.33, 1.17]]
