,Participant Public ID,Response,Absolute Reaction Time, Emergence,Group,Segment
256,5e6627a7ef80c639ac28b01a,2,8136.00200000032,-5.011763865,B_5,14
257,5e6627a7ef80c639ac28b01a,3,14003.7549999048,-1.666640003,A_8,25
258,5e6627a7ef80c639ac28b01a,6,21772.6229998571,0.376208366,B_9,15
259,5e6627a7ef80c639ac28b01a,3,26678.6809999048,-7.822195403,B_5,2
260,5e6627a7ef80c639ac28b01a,5,19097.4079998089,-6.32460102,A_5,14
261,5e6627a7ef80c639ac28b01a,3,20929.8079999992,-3.530292699,A_9,25
262,5e6627a7ef80c639ac28b01a,3,60387.8699999526,-1.215255865,B_7,5
263,5e6627a7ef80c639ac28b01a,3,13539.5589998569,-5.880766037,A_6,1
264,5e6627a7ef80c639ac28b01a,3,27781.9129999997,-7.242683407,B_1,5
265,5e6627a7ef80c639ac28b01a,6,15076.6589999524,0.735905282,B_6,20
266,5e6627a7ef80c639ac28b01a,4,13214.3119998089,-6.679341564,B_9,16
267,5e6627a7ef80c639ac28b01a,3,9603.2809998095,-11.12198586,B_8,23
268,5e6627a7ef80c639ac28b01a,4,25418.624999809,1.191383931,B_9,18
269,5e6627a7ef80c639ac28b01a,3,33014.9130000006,-13.6770885,B_6,3
270,5e6627a7ef80c639ac28b01a,5,12444.8439999045,0.221890844,A_10,3
271,5e6627a7ef80c639ac28b01a,3,15512.9900000002,-7.562859945,B_1,6
272,5e6627a7ef80c639ac28b01a,3,34001.2079999996,-10.36638303,B_8,15
273,5e6627a7ef80c639ac28b01a,3,26036.3089998094,-4.455561293,B_8,32
274,5e6627a7ef80c639ac28b01a,3,42928.1160000003,-7.264054162,A_9,21
275,5e6627a7ef80c639ac28b01a,4,9534.25099980924,-2.278183035,A_9,26
276,5e6627a7ef80c639ac28b01a,6,23731.2929998571,-2.681004022,B_4,26
277,5e6627a7ef80c639ac28b01a,6,33098.5829999996,-0.50351453,B_9,17
278,5e6627a7ef80c639ac28b01a,5,16916.3619999997,0.225482563,A_8,12
279,5e6627a7ef80c639ac28b01a,3,15864.4459999995,-3.393990968,B_4,1
280,5e6627a7ef80c639ac28b01a,6,30852.3329999046,-1.971734915,B_7,6
281,5e6627a7ef80c639ac28b01a,4,19842.4470000006,-8.606198183,B_6,9
282,5e6627a7ef80c639ac28b01a,4,24988.9019999997,-14.09645925,B_4,11
283,5e6627a7ef80c639ac28b01a,4,24250.266999809,-6.231247597,A_9,31
284,5e6627a7ef80c639ac28b01a,4,17618.4290000004,-0.964084869,B_8,2
285,5e6627a7ef80c639ac28b01a,5,25108.2110000001,-4.042889335,A_2,10
286,5e6627a7ef80c639ac28b01a,6,20511.1369999991,-2.425303388,A_6,13
287,5e6627a7ef80c639ac28b01a,5,6155.66000000014,-3.31829142,A_2,9
288,5e6627a7ef80c639ac28b01a,4,83545.7289998568,-2.596546952,A_4,3
289,5e6627a7ef80c639ac28b01a,3,46418.9159999527,-2.816490937,B_9,3
290,5e6627a7ef80c639ac28b01a,3,17601.9920000005,-1.056172266,B_1,3
291,5e6627a7ef80c639ac28b01a,3,21196.5580000001,-7.740040604,A_5,4
292,5e6627a7ef80c639ac28b01a,3,16766.5019999993,-4.846682385,B_2,6
293,5e6627a7ef80c639ac28b01a,3,16323.2799998093,-4.651352498,A_9,15
294,5e6627a7ef80c639ac28b01a,4,26077.7209999999,-5.158912459,A_8,23
295,5e6627a7ef80c639ac28b01a,4,15613.1960000004,-6.282947145,A_2,18
296,5e6627a7ef80c639ac28b01a,4,16208.0369999995,-4.595811296,B_4,25
297,5e6627a7ef80c639ac28b01a,3,20322.0479998569,-1.944042719,A_8,11
298,5e6627a7ef80c639ac28b01a,3,17580.8949999995,-15.38297957,B_8,18
299,5e6627a7ef80c639ac28b01a,3,14574.5919998092,-4.841539236,A_9,20
300,5e6627a7ef80c639ac28b01a,3,15011.2970000011,-4.894232891,A_2,12
301,5e6627a7ef80c639ac28b01a,3,25526.2509999992,-4.281484105,A_5,9
302,5e6627a7ef80c639ac28b01a,3,21392.0669999048,-8.549926017,A_6,4
303,5e6627a7ef80c639ac28b01a,4,25074.0469999527,-17.32696929,B_5,11
304,5e6627a7ef80c639ac28b01a,3,25290.4379999525,-12.45411153,B_5,15
305,5e6627a7ef80c639ac28b01a,4,20728.347,-4.801022291,B_5,6
306,5e6627a7ef80c639ac28b01a,3,21915.8080000001,-8.575321085,A_5,5
307,5e6627a7ef80c639ac28b01a,3,27371.6799999522,-10.86329086,B_5,28
308,5e6627a7ef80c639ac28b01a,3,17580.2689999043,-5.031380268,A_5,12
309,5e6627a7ef80c639ac28b01a,5,14392.9560000002,-8.273603926,B_8,16
310,5e6627a7ef80c639ac28b01a,4,19541.1359999049,-4.711105241,B_3,12
311,5e6627a7ef80c639ac28b01a,4,26946.8170000007,-4.032711335,A_8,21
312,5e6627a7ef80c639ac28b01a,4,11646.0629998566,-3.969683379,B_8,29
313,5e6627a7ef80c639ac28b01a,6,5540.09899985697,-9.089997087,B_4,9
314,5e6627a7ef80c639ac28b01a,4,33006.6259999526,-1.520164915,A_9,8
315,5e6627a7ef80c639ac28b01a,4,20494.6059999996,-5.499897554,A_9,24
316,5c912c607a7067000190a71c,4,18597.4860000119,-5.454296927,B_8,28
317,5c912c607a7067000190a71c,2,19830.0789999999,-17.32696929,B_5,11
318,5c912c607a7067000190a71c,8,15783.193999988,-3.520670777,B_7,3
319,5c912c607a7067000190a71c,10,12805.5179999999,-0.254172765,A_6,12
320,5c912c607a7067000190a71c,5,14673.1219999999,-3.290868755,B_4,7
321,5c912c607a7067000190a71c,6,13331.4000000119,1.268555424,B_7,9
322,5c912c607a7067000190a71c,3,13883.8689999642,-1.056172266,B_1,3
